name,cuisine,latitude,longitude,address,rating,review_count,price,cafe,food_court,halal,vegetarian,wheelchair_accessible
Pepenero,Italian,1.28036,103.8480835,"['14 Stanley Street', 'Singapore 068733', 'Singapore']",3.5,7,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
My Little Spanish Place,Spanish,1.28717,103.84925,"['54 Boat Quay', 'Singapore 049843', 'Singapore']",4,4,$$$,FALSE,FALSE,FALSE,TRUE,FALSE
Sabio By The Sea,Spanish,1.24777,103.8419724,"['31 Ocean Way', '#01-02', 'Southern Islands 098367', 'Singapore']",3.5,10,$$$,FALSE,FALSE,FALSE,TRUE,FALSE
My Little Tapas Bar,Spanish,1.2812521,103.8455394,"['14 Ann Siang Road', 'Singapore 069694', 'Singapore']",4.5,8,$$$,FALSE,FALSE,FALSE,TRUE,TRUE
My Little Spanish Place,Spanish,1.32443,103.8092422,"['619 Bukit Timah Road', 'Singapore 269720', 'Singapore']",4,13,$$$,FALSE,FALSE,FALSE,TRUE,FALSE
Dehesa,Spanish,1.28626,103.8487899,"['12 North Canal Rd', 'Singapore 048825', 'Singapore']",5,3,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Binomio,Spanish,1.277666492,103.8420918,"['Craig Place', '20 Craig Road', '#01-02', 'Singapore 089692', 'Singapore']",4.5,15,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Los Primos Taberna Y Tapas,Spanish,1.28161,103.8457489,"['87 Club Street', 'Singapore 069449', 'Singapore']",2.5,5,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Bam! Tapas-sake Bar,Spanish,1.27841,103.8442535,"['38 Tras Street', 'Singapore 078977', 'Singapore']",4,7,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Milagro Spanish Restaurant,Spanish,1.3009279,103.8399306,"['181 Orchard Rd', '#08-06', 'Singapore 238896', 'Singapore']",3.5,7,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
UNA at One Rochester,Spanish,1.305308,103.787689,"['1 Rochester Park', 'Singapore 139212', 'Singapore']",3.5,4,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Don Quijote,Spanish,1.304618,103.808905,"['7 Dempsey Rd', '#01-02', 'Singapore 249671', 'Singapore']",3.5,19,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Serenity Spanish Bar & Restaurant,Spanish,1.26431,103.8220673,"['1 HarbourFront Walk', '#01-98/99, VivoCity', 'Singapore 098585', 'Singapore']",2.5,14,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Octapas Spanish Tapas Bar,Spanish,1.2898848,103.8454475,"['3D River Valley Rd', '#01-08', 'Singapore 179023', 'Singapore']",2,26,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Hana Hana,Japanese,1.276337245,103.8437165,"['1 Tras Link', '#01-17, Orchid Hotel', 'Singapore 078867', 'Singapore']",4,4,$$$,FALSE,FALSE,FALSE,TRUE,FALSE
The Wall,Japanese,1.27661,103.84406,"['76 Tanjong Pagar Rd', 'Singapore 088497', 'Singapore']",5,1,$$$,FALSE,FALSE,FALSE,TRUE,FALSE
Dashi Master Marusaya,Japanese,1.290095197,103.8371119,"['86 Robertson Quay', '#01-01', 'Singapore 238245', 'Singapore']",4,2,$$$,FALSE,FALSE,FALSE,TRUE,FALSE
Tomi Sushi,Japanese,1.319782,103.843661,"['238 Thomson Rd', '#02-76/77', 'Singapore 307683', 'Singapore']",4,19,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Nagae,Japanese,1.29041,103.8350296,"['392 Havelock Road', 'Singapore 169663', 'Singapore']",4,7,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Fish Mart Sakuraya,Japanese,1.289252651,103.8055507,"['370A Alexandra Road', 'Singapore 159954', 'Singapore']",4.5,4,$$$,FALSE,FALSE,FALSE,TRUE,FALSE
Bincho at Hua Bee,Japanese,1.283741,103.8304062,"['78 Moh Guan Terrace', '#01-19', 'Singapore 162078', 'Singapore']",4,15,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
SushiAirways Sushibar,Japanese,1.30117,103.8597336,"['20A Baghdad Street', 'Singapore 199659', 'Singapore']",3.5,7,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Sushi Jin,Japanese,1.31212,103.8541565,"['1 Farrer Park Station Road', '#01-11/12, Owen Link', 'Singapore 217562', 'Singapore']",4,8,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Rocku Yakiniku Japanese Charcoal Grill,Japanese,1.299629,103.854302,"['201 Victoria Street', '#04-06 Bugis Plus', 'Singapore 188067', 'Singapore']",1.5,5,$$$,FALSE,FALSE,FALSE,TRUE,FALSE
Teng Bespoke Japanese Vegetarian Dining,Japanese,1.30054,103.85103,"['91 Bencoolen Street', '#01-50', 'Singapore 189652', 'Singapore']",4.5,13,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Tsukada Nojo,Japanese,1.299821,103.845445,"['68 Orchard Rd', '#03-81', 'Singapore 238891', 'Singapore']",4,18,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Gyu-Kaku,Japanese,1.319721568,103.8437662,"['238 Thomson Road', '#02-46, Novena Square', 'Singapore 307683', 'Singapore']",4,6,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Tenshin,Japanese,1.3046549,103.8249313,"['1 Cusaden Rd', '#03-01', 'Singapore 249715', 'Singapore']",4.5,4,$$$,FALSE,FALSE,FALSE,TRUE,FALSE
Coq & Balls,Japanese,1.2852519,103.8292453,"['6 Kim Tian Rd', 'Kai Fook Mansion', 'Singapore 169246', 'Singapore']",4,13,$$$,FALSE,FALSE,FALSE,TRUE,TRUE
Himonoya,Japanese,1.291983242,103.8413839,"['11 Unity St', '#02-14, Robertson walk', 'Singapore', 'Singapore']",4,1,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
