,name,cuisine,latitude,longitude,address,rating,review_count,price
1473,Gerry's Grill,filipino,1.30287,103.8401489,"['51 Cuppage Road', 'Singapore 229469', 'Singapore']",3.0,9,$$
1474,Jollibee,filipino,1.32085651157709,103.843902647495,"['10 Sinaran Dr', '#01-07-12', 'Singapore 307506', 'Singapore']",4.5,7,$$
1475,Filipino Fiesta,filipino,1.30641,103.9043884,"['450 Joo Chiat Rd', 'Singapore 427663', 'Singapore']",4.0,1,$$
1476,Sungei Road Laksa,finnish,1.3067340360828,103.857772350311,"['27 Jalan Berseh', '#01-100, Jin Shui Kopitiam', 'Singapore 200027', 'Singapore']",4.5,70,$
1477,Maxwell Food Centre,finnish,1.28033870373862,103.844763135292,"['1 Kadayanallur St', 'Singapore 069184', 'Singapore']",4.5,242,$
1478,Swee Choon Tim Sum,finnish,1.30813116564766,103.856864295044,"['183/185/187/189/191/193 Jalan Besar', 'Singapore 208882', 'Singapore']",4.0,75,$
1479,Two Men Bagel House,finnish,1.27453122493182,103.844383098185,"['16 Enggor St', '#01-12', 'Singapore 079717', 'Singapore']",4.5,76,$
1480,Tim Ho Wan,finnish,1.291329,103.855213,"['1 Raffles Link', '#B1-63/63A', 'Singapore 039393', 'Singapore']",4.5,31,$
1481,旺角點心 Mongkok Dim Sum,finnish,1.312036,103.876806,"['214 Geylang Lorong 8', 'Singapore 389274', 'Singapore']",3.5,10,$
1482,Tai Hwa Pork Noodle,finnish,1.305307,103.862343,"['466 Crawford Lane', '#01-12, Tai Hwa Eating House', 'Singapore 190465', 'Singapore']",4.0,85,$
1483,Usman Restaurant,finnish,1.3096699,103.85401,"['238 Serangoon Rd', 'Singapore 218085', 'Singapore']",4.0,34,$
1484,Old Airport Road Food Centre,finnish,1.30817,103.8857,"['Block 51 Old Airport Rd', '# 01-91', 'Singapore 390051', 'Singapore']",4.5,63,$
1485,Satay By The Bay,finnish,1.28200334039452,103.868970572948,"['18 Marina Gardens Dr', 'Singapore 018952', 'Singapore']",3.5,44,$
1486,Tian Tian Hainanese Chicken Rice,finnish,1.28035,103.84472,"['1 Kadayanallur St', '#01 -10/11', 'Maxwell Food Center', 'Singapore 069120', 'Singapore']",4.0,379,$
